mixture_collection	indiv	1. Alaska	2. Central	3. Southwest	4. East	5. WesternBoreal	State	Town	Stage	longitude	latitude
mixture	07N50815	0.00000000207297608951145	0.0000000000000000000000000000000000210832173033528	0.000019502839161806	0.00000000000000000000000000000000000000000000000000000000000000000000000000633286270325938	0.999980495087863	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N51509	0.0000487964819437402	0.000000000000000000000000000000191107047917378	0.0000167642640579655	0.0000000000000000000000000000000000000000000000000000000000000000000936338053617758	0.999934439253996	Ahuachapan	San Miguelito	Wintering	-89.94	13.8
mixture	07N54940	0.0000000000135565919932983	0.000000000000920556412855531	0.999934331607135	0.00000000000000000000000000000000000247915276370952	0.00006566837838853	Sonsonate	Izalco	Wintering	-89.65	13.8
mixture	07N54989	0.00117978872672758	0.00000000000000000303793742596598	0.000841506543105989	0.000000000000000000000000000000000000000000000000351362657318077	0.997978704730166	Sonsonate	Izalco	Wintering	-89.65	13.8
mixture	07N55003	0.000000225991004571831	0.00000000000000000000000000000000794529634291959	0.00371552694738098	0.000000000000000000000000000000000000000000000000000000000000000000000017038409530321	0.996284247061615	Sonsonate	Izalco	Wintering	-89.65	13.8
mixture	07N55026	0.0000000212154041869004	0.000000000000000000000000000154510654208297	0.0905285818275608	0.000000000000000000000000000000000000000000000000000000000000000437088680078185	0.909471396957036	Santa Ana	Metapan	Wintering	-89.36	14.4
mixture	07N55054	0.000074979625915895	0.999912094541991	0.00000940456476603373	0.00000000000000000657309913741434	0.0000035212673246247	Santa Ana	Metapan	Wintering	-89.36	14.4
mixture	07N55169	0.999753224920347	0.000000000000657971162763136	0.000000534394203062692	0.0000000000000000000000000000000000000018793922022602	0.000246240684791279	Santa Ana	Metapan	Wintering	-89.36	14.4
mixture	07N64717	0.000000146681311745851	0.999999808944143	0.0000000440007128928603	0.000000000000000211266444208124	0.000000000373831533912166	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65252	0.0000000443429747484599	0.999999955275531	0.0000000000772087082508356	0.000000000000000367604851728534	0.00000000030428629407685	CR	Paisley	Wintering	-82.95	8.75
mixture	07N65432	0.000000258120534603455	0.999999741879458	0.00000000000000371298184421197	0.00000000000000229466403343798	0.000000000000000129072153159513	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65464	0.00858013861273985	0.991419826758665	0.0000000342169832443816	0.000000000000000029630731816283	0.000000000411614646055871	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65468	0.00000000000000000000506548076458074	0.999999328425965	0.00000000000000000000000170046046656415	0.00000067157403462176	0.000000000000000000000000000651858647395775	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65469	0.000000413477792715667	0.999981197874594	0.0000183878666477073	0.0000000000000000040879210661091	0.000000000780965404972708	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65471	0.000000000000506786206390364	0.999999999998118	0.0000000000013727093068147	0.00000000000000307127175147902	0.000000000000000503870081201479	CR	Santa Teresa	Wintering	-82.92	8.81
mixture	07N65492	0.133409792094423	0.0308228290777889	0.482648003979369	0.00000000000000000000000194255400155184	0.35311937484842	CR	Santa Teresa	Wintering	-82.92	8.81
