event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14314313956,true,2015-07-02 19:50:00.000,-70.31,43.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313957,true,2015-07-03 03:45:00.000,-70.31,43.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313958,true,2015-07-03 19:47:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313959,true,2015-07-04 03:44:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313960,true,2015-07-04 19:49:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313961,true,2015-07-05 03:49:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313962,true,2015-07-05 19:47:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313963,true,2015-07-06 03:49:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313964,true,2015-07-06 19:48:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313965,true,2015-07-07 03:49:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313966,true,2015-07-07 19:42:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313967,true,2015-07-08 03:54:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313968,true,2015-07-08 19:45:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313969,true,2015-07-09 03:53:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313970,true,2015-07-09 19:43:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313971,true,2015-07-10 03:56:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313972,true,2015-07-10 19:44:00.000,-70.3,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313973,true,2015-07-11 03:53:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313974,true,2015-07-11 19:42:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313975,true,2015-07-12 03:54:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313976,true,2015-07-12 19:38:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313977,true,2015-07-13 03:54:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313978,true,2015-07-13 19:40:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313979,true,2015-07-14 03:58:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313980,true,2015-07-14 19:38:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313981,true,2015-07-15 04:02:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313982,true,2015-07-15 19:35:00.000,-70.3,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313983,true,2015-07-16 03:56:00.000,-70.3,43.88,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313984,true,2015-07-16 19:39:00.000,-70.31,43.78,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313985,true,2015-07-17 03:57:00.000,-70.3,43.67,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313986,true,2015-07-17 19:28:00.000,-70.25,43.45,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313987,true,2015-07-18 04:14:00.000,-70.25,43.44,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313988,true,2015-07-18 19:37:00.000,-70.32,43.34,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
